pre,total_similarity_score_single
AS11,-4.75096743522862
AV,-5.5
AVA,-47.50178125332184
AVB,1.4558530437736183
AVD,-19.0
AVF,-104.0
AVG,-23.539937861539872
AVH,-1.0
AVJ,-7.0
AVK,-7.649361205103592
CA02,-1.0
CA03,0.9935705511838897
CA04,-5.369221291683052
CA05,-20.58994557029556
CA06,-1.8591210060078573
CA07,-2.687154444993777
CA08,6.073871948255283
CA09,-1.7357588823428847
CP01,-26.0
CP02,-19.687154444993773
CP03,-5.148194180868833
CP04,-53.44256004372323
CP05,-5.195833530912669
CP06,-7.759709923491901
CP07,0.018553496345189657
CP08,11.68790353158677
CP09,-9.29931134706854
DA07,0.8160602794142788
DA08,-4.183939720585721
DA09,-1.4577685966089735
DB05,1.6321205588285577
DD03,-0.18393972058572117
DD06,-8.0
DVA,-1.319275003822334
DVB,26.50189601028717
DVC,-0.12971448871701452
DVE,12.584720137319064
DVF,-8.298113017506836
DX1,-25.0
DX2,-27.8710941655795
DX3,-30.0
EF1,-2.0
EF2,-10.183939720585721
HOA,-58.08283531535292
HOB,-92.69833972891534
LUA,-24.17196656101408
PCA,16.944898134053375
PCB,-29.98845413906346
PCC,66.26271551721561
PDA,-11.687154444993777
PDB,-8.508094489278257
PDC,0.5389602641249436
PDE,-23.783513857321452
PGA,-13.129714488717013
PHA,-134.80122998924477
PHB,-74.28757804410004
PHC,-82.72328645447024
PHD,-84.92102047398444
PLM,-19.959800689998275
PQR,-37.471415178175995
PVC,-10.438761807197803
PVD,-25.406570080629717
PVM,-14.551819161757162
PVN,-70.36787944117144
PVP,-0.5
PVQ,-0.18393972058572117
PVR,1.663880128679953
PVV,-49.10212076616937
PVX,-52.540480717484
PVY,-30.36787944117144
PVZ,-53.13156304860225
R1A,-61.5
R1B,-140.60363832351433
R2A,42.68314511577393
R2B,-106.80984767749236
R2sh,-2.5
R3A,15.896361676449022
R3B,-123.63901721793363
R4A,11.388155156382314
R4B,-59.911768459947304
R5A,-21.20493779531216
R5B,-57.92943441511515
R6A,-25.033434556676458
R6B,-72.0300292485492
R7A,-65.45157989675599
R7B,-117.49036195295687
R8A,14.247710031881647
R8B,-33.36273413307404
R9A,-80.2147242855364
R9B,-78.97171225070615
SDQ,-21.0
SPC,14.66859375686439
SPD,-44.05621364600645
SPV,-30.296676577528547
VA09,1.6321205588285577
VA10,-16.32602478388791
VA11,12.01039499784618
VA12,4.6391171093144745
VB05,-1.0
VB06,1.6321205588285577
VB07,-15.129714488717015
VB08,2.3487889494597347
VB09,-48.00642944881611
VB10,-30.48836263218348
VB11,-35.0
VD08,-18.0
VD09,-11.23110534957932
VD10,-16.546198367237565
VD11,-14.39253755937727
VD12,-25.44256004372324
VD13,-21.88793903307721
