pre,sim_score_dist
AS10,113890.31926165243
AS11,425416.0214951536
AV,-349494.4654358741
AVA,442556.5622892649
AVB,237466.2867234011
AVD,342057.9160865594
AVF,397145.3350794486
AVG,1994480.1368248824
AVH,244188.07480315026
AVJ,4335.841199799409
AVK,-309476.2500439147
CA04,660742.850999121
CA05,1908185.4625790382
CA06,1333144.2100051777
CA07,617389.8689648358
CA08,451675.69325220195
CA09,526843.9676594255
CP01,628424.3746196951
CP02,577222.1986934033
CP03,499789.4715041534
CP04,745037.4228737646
CP05,1300187.1996823936
CP06,967032.6638458042
CP07,1658073.2992249813
CP08,1650352.053365867
CP09,1950025.4749634704
DA07,282795.48227708164
DA08,1012317.3999383545
DA09,522779.24618299183
DB05,1642.7825739685263
DB06,446062.38968413253
DB07,536993.5905905757
DD06,1035804.9182117268
DVA,481202.3476982315
DVB,634154.8154954319
DVC,963274.9333285894
DVE,1754037.2754482697
DVF,1442943.8374040367
DX1,19299.184591125326
DX2,88773.14446159799
DX3,653020.4903270693
EF1,1163375.2561019694
EF2,1521968.4645516372
EF3,1543167.314160575
HOA,1848232.180325332
HOB,1208399.1379122243
LUA,89607.31987760027
PCA,997783.488521179
PCB,307134.88446079334
PCC,281466.2030564636
PDA,632242.4130772107
PDB,2608584.2002263526
PDC,1061097.084068064
PDE,6656.052620299525
PGA,754106.0600349338
PHA,187175.11496137414
PHB,167061.42329428843
PHC,1213329.1725537376
PHD,232667.88942612254
PQR,629806.9533483757
PVC,489742.4857727609
PVD,138585.36965604362
PVN,428699.261137359
PVP,150936.3254741018
PVQ,277783.78676185675
PVR,577663.1911171171
PVT,548389.422638216
PVV,3964409.103427259
PVW,320952.0612350155
PVX,3693699.069095624
PVY,2873537.2042371784
PVZ,2383603.29790674
R1A,-473038.80164688616
R1B,-525452.2428768142
R2A,751444.716064117
R2B,515163.8764963933
R3A,562679.7273263622
R3B,245501.50849057187
R4A,704453.0031427185
R4B,217552.46078894142
R5A,156908.50711710413
R5B,-277975.8017639675
R6A,451905.4850900966
R6B,15389.842772163098
R7A,560740.663007247
R7B,833045.6236782138
R8A,879236.8563439572
R8B,307458.43652304367
R9A,204666.04773344882
R9B,231176.37416543104
SPC,235034.38922426268
SPD,559608.042586725
SPV,658074.0292730881
VA10,320588.8718880872
VA11,899272.1020943605
VA12,981771.6203400794
VB06,558171.1978373546
VB07,67646.1497737676
VB08,94049.31709621247
VB09,353495.3344338193
VB10,744619.5782993922
VB11,1243765.8504538701
VD11,628267.893635669
VD12,470765.5404635746
VD13,564471.2266956324
